text,category,severity,service_type
Cannot login to LECIntelliSupport system,software,high,web_application
Internal HR system not responding,software,high,web_application
Network connection is very slow in head office,network,medium,connectivity
Cannot access shared drive on the network,network,medium,file_sharing
IT portal shows error when submitting a ticket,software,medium,web_application
Desktop computer not starting in finance office,hardware,high,workstation
Printer not detected on the network,hardware,medium,printer
Employee workstation freezes frequently,hardware,low,workstation
Cannot access shared drive I cannot access the shared drive on the network since yesterday. It says path not found.,network,medium,wifi
"Afternoon, Printer not detected. Printer not detected on the network since yesterday. Cannot print from any PC. This is delaying service.",printer,medium,printer
"Afternoon, Overheating. The laptop becomes very hot and shuts down during work after restart. This is affecting my work.",hardware,medium,laptop
"Afternoon, No internet connection. Wi-Fi shows connected but no internet works for the past 2 days. This is delaying service.",network,medium,vpn
Possible data leak A sensitive document may have been shared incorrectly for the past 2 days. Please advise. I cannot continue my tasks.,security,critical,data_leak
I need help with Update failed. Windows/software update fails with an error code and PC becomes slow after restart. This impacts customer support.,software,medium,database_client
Internal HR system not responding The HR system is not responding and pages keep loading since yesterday. It is urgent.,software,low,antivirus
Battery not charging The PC battery is not charging and only works with charger. It is urgent.,hardware,medium,workstation
IT portal error on submit The IT portal shows an error when submitting a ticket today. This is delaying service.,software,medium,desktop_application
Keyboard not responding The keyboard keys are not responding and the mouse freezes since this morning. It is urgent.,hardware,low,workstation
"Hello, Malware alert detected. Antivirus detected malware and quarantined a file since yesterday. Please investigate.",security,critical,phishing
Cannot send email Emails stay in outbox with server connection error after the latest update. It is urgent.,email,medium,mailbox_access
Monitor flickering My monitor keeps flickering and sometimes goes black after the latest update. This is affecting my work.,hardware,low,laptop
Overheating The laptop becomes very hot and shuts down during work since yesterday. This is delaying service.,hardware,high,workstation
"Please assist, Printer not detected. Printer not detected on the network since yesterday. Cannot print from any PC.",printer,low,toner
Calendar invites failing Meeting invites fail or do not update in calendar today. It is urgent.,email,medium,mailbox_access
Network connection is very slow The network is very slow at control room after the latest update. Emails take long and sites time out.,network,medium,file_sharing
Unauthorized login attempts There are login attempts from unknown location on my account after restart. I cannot continue my tasks.,security,critical,unauthorized_access
Blue screen on workstation The workstation shows a blue screen and restarts frequently since this morning. I cannot continue my tasks.,hardware,high,workstation
"Afternoon, Keyboard not responding. The keyboard keys are not responding and the mouse freezes since this morning. It is urgent.",hardware,high,laptop
Cannot start laptop The laptop is not powering on today. The power light is off. This impacts customer support.,hardware,high,peripheral
"Kindly help, Phishing email reported. I received a suspicious email asking for credentials after restart. I did not click links. This is affecting my work.",security,high,phishing
Print queue stuck Print queue is stuck and jobs cannot be cancelled today. This is delaying service.,printer,high,printer
Cannot send email Emails stay in outbox with server connection error after the latest update.,email,medium,mailbox_access
"Please assist, Password reset required. I forgot my password and I am locked out after attempts for the past 2 days. I cannot continue my tasks.",account,medium,password_reset
Faded prints Printer prints faded pages and shows low toner since yesterday. This is affecting my work.,printer,medium,toner
DNS issue Some websites open but others fail; looks like DNS issue after restart.,network,medium,wifi
Unauthorized login attempts There are login attempts from unknown location on my account today. This is affecting my work.,security,critical,data_leak
Shared mailbox request Please grant access to shared mailbox for our department this week. This impacts customer support.,email,high,email
"Morning, Scanner not working. Scanner fails with paper jam message even when clear today.",printer,low,printer
Phishing email reported I received a suspicious email asking for credentials after restart. I did not click links. This is delaying service.,security,high,malware
MFA not working OTP/MFA is not working and I cannot login since yesterday. This is delaying service.,account,medium,mfa
Printer not detected Printer not detected on the network after restart. Cannot print from any PC. I cannot continue my tasks.,printer,low,scanner
Antivirus license expired Antivirus says license expired and blocks updates since this morning. This is affecting my work.,software,medium,desktop_application
No internet connection Wi-Fi shows connected but no internet works after restart.,network,high,connectivity
Cannot start desktop computer The desktop computer is not powering on after the latest update. The power light is off.,hardware,high,power
Print queue stuck Print queue is stuck and jobs cannot be cancelled since yesterday. It is urgent.,printer,low,print_queue
Outlook not syncing Outlook is not syncing new emails today. This is affecting my work.,email,low,email
Phishing email reported I received a suspicious email asking for credentials after the latest update. I did not click links. This is affecting my work.,security,high,data_leak
Outlook not syncing Outlook is not syncing new emails since yesterday. This is delaying service.,email,high,collaboration
Outlook not syncing Outlook is not syncing new emails this week.,email,medium,email
"Hi IT team, Application crashing. The application crashes when I click submit/save today. It is urgent.",software,low,web_application
Cannot start computer The computer is not powering on since yesterday. The power light is off. It is urgent.,hardware,high,power
Requesting support: Cannot send email. Emails stay in outbox with server connection error after the latest update. This is delaying service.,email,high,mailbox_access
Requesting support: Request new access. Please grant me access to the procurement/finance module required for my work since this morning. It is urgent.,account,medium,permissions
Printer offline Printer shows offline and jobs do not print after restart. I cannot continue my tasks.,printer,high,toner
Requesting support: Phishing email reported. I received a suspicious email asking for credentials since this morning. I did not click links. This is affecting my work.,security,high,unauthorized_access
Printer offline Printer shows offline and jobs do not print for the past 2 days. This impacts customer support.,printer,high,print_queue
Application crashing The application crashes when I click submit/save this week.,software,medium,web_application
Monitor flickering My monitor keeps flickering and sometimes goes black today. It is urgent.,hardware,medium,desktop
"Hi IT team, Antivirus license expired. Antivirus says license expired and blocks updates after the latest update. This impacts customer support.",software,medium,desktop_application
"Hi IT team, Cannot login to LECIntelliSupport system. I cannot login to the LECIntelliSupport portal today. It says invalid session or error.",software,high,antivirus
